Il sistema risolto:

SISTEMA CON RISULTATO UNICO
x 1 = -2.06
x 2 =  2.04
x 3 =  1.18
x 4 = -0.26
x 5 = -0.37
x 6 =  2.14
x 7 = -0.09
x 8 = -0.28
x 9 = -1.32
x10 =  0.91
x11 =  1.51
x12 = -1.57
x13 =  2.21
x14 = -0.97
x15 = -2.88
x16 = -1.17
x17 = -3.82
x18 = -1.44
x19 = -1.71
x20 = -2.28
x21 = -0.98
x22 = -2.74
x23 = -2.03
x24 = -0.20
x25 =  0.40
x26 =  1.79
x27 =  1.35
x28 = -2.54
x29 = -0.66
x30 =  0.86
x31 = -1.59
x32 = -2.03
x33 = -1.99
x34 = -0.75
x35 =  0.44
x36 =  1.34
x37 = -2.32
x38 =  2.07
x39 = -3.19
x40 =  3.92
x41 =  0.92
x42 = -1.76
x43 = -1.71
x44 = -1.36
x45 = -2.77
x46 = -1.40
x47 = -1.32
x48 = -0.34
x49 = -0.24
x50 =  4.79
x51 = -0.19
x52 = -0.51
x53 = -0.71
x54 =  1.21
x55 =  3.96
x56 = -1.02
x57 =  0.40
x58 =  2.93
x59 =  1.03
x60 = -2.57
x61 =  0.87
x62 = -0.47
x63 = -3.53
x64 =  0.78
x65 = -0.52
x66 = -2.24
x67 =  0.31
x68 = -2.95
x69 =  2.24
x70 = -1.71
x71 =  2.08
x72 = -2.16
x73 =  1.90
x74 = -1.76
x75 = -0.55
x76 = -1.96
x77 =  3.74
x78 =  1.52
x79 = -3.58
x80 = -3.14
x81 =  1.19
x82 =  0.63
x83 = -0.68
x84 =  1.37
x85 = -1.42
x86 = -1.34
x87 = -0.49
x88 = -1.13
x89 =  0.70
x90 =  0.18
x91 = -0.07
x92 = -0.19
x93 =  1.92
x94 = -1.39
x95 = -2.93
x96 =  0.40
x97 = -0.59
x98 = -1.95
x99 =  0.39
x100 = -2.45
x101 = -2.71
x102 = -0.65
x103 =  0.16
x104 = -1.60
x105 =  0.03
x106 = -2.00
x107 = -0.36
x108 = -0.71
x109 = -0.79
x110 =  1.37
x111 = -0.47
x112 =  0.55
x113 = -0.33
x114 =  1.54
x115 = -3.45
x116 = -3.92
x117 = -1.33
x118 =  2.63
x119 = -0.88
x120 = -0.01
